px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.91703	-4.85768	-1.96776	-2.51674	0.0370219	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.676997
10.0362	-4.68565	-2.04867	-2.4393	0.120726	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	28.8389
10.1212	-4.60469	-2.08995	-2.42837	0.124718	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	1.12169
10.2515	-4.40308	-2.4803	-2.34611	0.20801	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	25.816
10.3461	-4.29741	-2.52312	-2.33077	0.211708	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.858173
10.503	-4.12227	-3.30055	-2.311	0.219	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	5.64413
10.6164	-3.98385	-3.29716	-2.29572	0.221168	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.348385
10.7106	-3.85518	-3.01379	-2.26945	0.238196	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	1.16306
10.8114	-3.72846	-2.9957	-2.25587	0.238041	10.7616	-3.75002	10.75	-3.75	1.81902	1.81903	0.142309
10.832	-3.63322	-1.96928	-2.20107	0.289113	10.795	-3.60617	10.8	-3.6	0.909773	2.72931	16.2065
10.8905	-3.53959	-1.99189	-2.18214	0.291437	10.8527	-3.46164	10.85	-3.45	0.909764	2.72928	0.360629
11.0229	-3.35315	-3.18769	-2.17086	0.284102	10.9584	-3.30584	10.95	-3.3	1.99953	2.99928	14.4908
